Organisation Name,Award offered,Discipline,Applicant ACE Area,Region (ONS),Local Authority Name,Constituency
Up the Creek Comedy Club,165000.00,Combined arts,London,London,Greenwich,Greenwich and Woolwich
Urban Audio Productions,110000.00,Music,Midlands,West Midlands,Warwick,Kenilworth and Southam
Urban Development Ltd,56475.00,Music,London,London,Hackney,Hackney South and Shoreditch
Ushaw College,289708.00,Museums,North,North East,County Durham,North West Durham
Utopia Theatre Limited,69634.00,Theatre,North,Yorkshire and The Humber,Sheffield,Sheffield Central
Valcato Entertainment Limited,65000.00,Combined arts,Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent South
Valley Community Theatre,60000.00,Combined arts,North,North West,Liverpool,Garston and Halewood
Vans For Bands Ltd,177000.00,Not discipline specific,South East,South East,Cherwell,Oxford West and Abingdon
Velico Ltd,240000.00,Music,Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent Central
Venture Arts,55000.00,Visual arts,North,North West,Manchester,Manchester Central
Veritas Entertainment Limited,285143.00,Theatre,South East,East of England,Southend-on-Sea,Southend West
Vern Allen Group Limited,50000.00,Not discipline specific,South West,South West,Exeter,Exeter
Victor Batte-Lay Foundation,125501.00,Visual arts,South East,East of England,Braintree,Witham
victoria vaults venue,92244.00,Music,North,Yorkshire and The Humber,York,York Central
Video Design Ltd,242840.00,Music,South East,East of England,Bedford,Mid Bedfordshire
village inn,253143.00,Combined arts,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
Village Underground,398000.00,Music,London,London,Hackney,Hackney South and Shoreditch
Vision Redbridge Culture & Leisure,547565.00,Theatre,London,London,Redbridge,Ilford South
Visual Connection Ltd,115965.00,Not discipline specific,North,North West,Lancaster,Lancaster and Fleetwood
Viva Blackpool,249000.00,Theatre,North,North West,Blackpool,Blackpool South
Voices Foundation,50000.00,Music,London,London,Islington,Islington South and Finsbury
Warts and All Theatre,98009.00,Theatre,Midlands,East Midlands,Northampton,Northampton South
Warwick District Council Arts Section,170000.00,Combined arts,Midlands,West Midlands,Warwick,Warwick and Leamington
Waterfront (SUS) Ltd,293132.00,Music,South East,East of England,Norwich,Norwich South
Waterloo East Theatre,50000.00,Theatre,London,London,Lambeth,Vauxhall
Watershed Arts Trust Ltd,731993.00,Not discipline specific,South West,South West,"Bristol, City of",Bristol West
Waterside Artists Co-operative Limited,97105.00,Combined arts,North,Yorkshire and The Humber,North Lincolnshire,Cleethorpes
Watts Gallery Trust,421980.00,Museums,South East,South East,Guildford,Guildford
Wavendon Allmusic Plan Ltd,847013.00,Music,South East,South East,Milton Keynes,Milton Keynes South
Ways With Words Ltd,117361.00,Literature,South West,South West,South Hams,Totnes
We Are Capture Ltd,76550.00,Film,London,London,Islington,Islington North
We are the Fair,365000.00,Combined arts,London,London,Hackney,Hackney South and Shoreditch
We Out Here Ltd,135316.00,Music,London,London,Southwark,Bermondsey and Old Southwark
Wellbeing Fitness and Leisure Community Trust Limited,194553.00,Combined arts,South East,South East,Milton Keynes,Milton Keynes North
Wells Maltings Trust,95000.00,Combined arts,South East,East of England,North Norfolk,North Norfolk
Wem Town Hall,83165.00,Combined arts,Midlands,West Midlands,Shropshire,North Shropshire
Wembley Park Theatre Limited,881194.00,Not discipline specific,London,London,Brent,Brent Central
West Cliff (Tendring) Trust,110000.00,Theatre,South East,East of England,Tendring,Clacton
West End Stage Ltd,79000.00,Theatre,London,London,Westminster,Cities of London and Westminster
West Lindsey District Council,196690.00,Combined arts,Midlands,East Midlands,West Lindsey,Gainsborough
West Stow Anglo Saxon Village,246500.00,Museums,South East,East of England,West Suffolk,West Suffolk
West Suffolk Council,250000.00,Music,South East,East of England,West Suffolk,Bury St Edmunds
West Yorkshire Print Workshop,50000.00,Visual arts,North,Yorkshire and The Humber,Kirklees,Dewsbury
West Yorkshire Theatre Dance Centre,79835.00,Dance,North,Yorkshire and The Humber,Wakefield,Wakefield
Westcoast Kent Community Interest Company,73143.00,Combined arts,South East,South East,Thanet,North Thanet
Weston Park Foundation,250000.00,Museums,Midlands,West Midlands,South Staffordshire,Stafford
Weston-super-Mare Town Council,323000.00,Theatre,South West,South West,North Somerset,Weston-super-Mare
Weymouth Pavilion CIC,573413.00,Theatre,South West,South West,Dorset,South Dorset
wharf chambers cooperative club,103842.00,Combined arts,North,Yorkshire and The Humber,Leeds,Leeds Central
Whirlwind Recordings,54000.00,Music,South East,South East,Epsom and Ewell,Epsom and Ewell
WHISKERS NEWQUAY,126826.00,Music,South West,South West,Cornwall,St Austell and Newquay
Whitaker Museum & Art Gallery,155375.00,Museums,North,North West,Rossendale,Rossendale and Darwen
Whitchurch Silk Mill,131550.00,Museums,South West,South East,Basingstoke and Deane,North West Hampshire
White Rock Theatre Hastings Ltd,239150.00,Theatre,South East,South East,Hastings,Hastings and Rye
Whitechapel Gallery,534000.00,Visual arts,London,London,Tower Hamlets,Bethnal Green and Bow
Wichita Management,50000.00,Music,South West,South West,Torridge,Torridge and West Devon
Wigan lesiure & Culture Trust,342945.00,Museums,North,North West,Wigan,Wigan
Wildcard,74085.00,Theatre,Midlands,West Midlands,Shropshire,Shrewsbury and Atcham
Wilton's Music Hall,102044.00,Combined arts,London,London,Tower Hamlets,Poplar and Limehouse
Wiltshire Creative,446968.00,Theatre,South West,South West,Wiltshire,Salisbury
Wiltshire Music Centre Trust Ltd,188158.00,Music,South West,South West,Wiltshire,Chippenham
Wimbledon BookFest,129000.00,Literature,London,London,Merton,Wimbledon
Wind & Foster,63533.00,Combined arts,South East,East of England,St Albans,St Albans
Wired Aerial Theatre Ltd,155645.00,Combined arts,North,North West,Liverpool,"Liverpool, Riverside"
Wirksworth Heritage Centre,161702.00,Museums,Midlands,East Midlands,Derbyshire Dales,Derbyshire Dales
Wise Thoughts,50000.00,Combined arts,London,London,Haringey,Hornsey and Wood Green
WOMAD Ltd,248006.00,Combined arts,South West,South West,Wiltshire,North Wiltshire
Worcester Cathedral Dean & Chapter,190000.00,Music,Midlands,West Midlands,Worcester,Worcester
Wordsmith MCR,58844.00,Literature,North,North West,Trafford,Stretford and Urmston
"Wordsworth Trust, The",242355.00,Museums,North,North West,South Lakeland,Westmorland and Lonsdale
Workplace Gallery,52000.00,Visual arts,North,North East,Gateshead,Gateshead
Worthing Theatres and Museum,239197.00,Theatre,South East,South East,Worthing,Worthing West
Wren Music,60000.00,Music,South West,South West,West Devon,Central Devon
Writing East Midlands,78500.00,Literature,Midlands,East Midlands,Nottingham,Nottingham South
Writing on the Wall,55000.00,Literature,North,North West,Liverpool,"Liverpool, Riverside"
WTKTD LTD,117830.00,Music,North,Yorkshire and The Humber,Sheffield,Sheffield Central
Wycombe Arts Management Ltd,248248.00,Theatre,South East,South East,Buckinghamshire,Wycombe
Wyvern Theatre Ltd,242844.00,Theatre,South West,South West,Swindon,South Swindon
Y Not Festivals UK Ltd,240000.00,Music,Midlands,East Midlands,Derbyshire Dales,Derbyshire Dales
Yellow Bus Events Ltd,65000.00,Combined arts,North,Yorkshire and The Humber,Sheffield,"Sheffield, Hallam"
YMCA Trinity Group,242286.00,Combined arts,South East,East of England,Peterborough,Peterborough
York Citizen's Theatre Trust,236522.00,Theatre,North,Yorkshire and The Humber,York,York Central
York Museums Trust,850000.00,Museums,North,Yorkshire and The Humber,York,York Central
Yorkshire Air Museum and Allied Air Forces Memorial,312531.00,Museums,North,Yorkshire and The Humber,York,York Outer
Yorkshire Sculpture Park,804013.00,Visual arts,North,Yorkshire and The Humber,Wakefield,Wakefield
Young Vic Company,961455.00,Theatre,London,London,Lambeth,Vauxhall
Your Leisure Kent Ltd,332055.00,Combined arts,South East,South East,Dover,South Thanet
Yvonne Arnaud Theatre,248422.00,Theatre,South East,South East,Guildford,Guildford
Z-arts,132402.00,Theatre,North,North West,Manchester,Manchester Central
Zest Theatre,50000.00,Theatre,Midlands,East Midlands,Lincoln,Lincoln
Zicon Entertainment Ltd,100000.00,Music,North,North West,Wirral,Wallasey
